Day,Date,Time,Duration,Type,Activity,Cost (NT$),Address,Notes,Maps Link
1,Saturday 5 September,06:55,,travel,Touch down at Taoyuan International,,,Drink water before you do anything else — the cabin has dried everyone out and it is about to get humid.,https://www.google.com/maps/search/?api=1&query=桃園國際機場第二航廈
1,Saturday 5 September,07:00,1 hr,travel,"Immigration, bags, and EasyCards for eleven",,,"Buy the EasyCards at the MRT counter in the arrivals hall while everyone's still together — it's a much smoother job as one group than chasing it later in ones and twos. The littlest one can usually ride free on a lap under the standard height threshold, so eleven cards covers the family. Then go find the pre-booked van.",
1,Saturday 5 September,08:00,25 min,travel,Van to Linkou — breakfast first,,,A short detour off the highway for a proper breakfast before the family visit — luggage stays snug in the van the whole time.,
1,Saturday 5 September,08:30,45 min,meal,Breakfast — Naka Brunch (拿靠早午餐),150,"No. 9, Zhongxiao 1st Rd, Linkou","""拿靠"" is Linkou's own old nickname, and this local chain — the Zhongxiao branch, 忠孝一路9號, about five minutes from Minzu Road — is where the town actually eats, not a stop built for tourists. The crispy egg crepe is the one to order; radish cake with a fried egg is the heartier backup for anyone who wants more than a crepe. Casual counter-and-table seating. Call ahead for a table of twelve (≈02-2600-8995) — see the reviews below for why that matters. If it can't fit the whole family, Linkou Market's grab-and-go stalls (政宗包子, 蒸宴小籠包) are two minutes from Minzu Road and open before 5am.",https://www.google.com/maps/search/?api=1&query=%E6%8B%BF%E9%9D%A0%E6%97%A9%E5%8D%88%E9%A4%90%20%E5%BF%A0%E5%AD%9D%E4%B8%80%E8%B7%AF9%E8%99%9F%E6%9E%97%E5%8F%A3
1,Saturday 5 September,09:15,15 min,travel,Short hop to Minzu Road,,,"Five easy minutes further into the old town, where the family is already waiting.",
1,Saturday 5 September,09:30,1.5 hr,sight,No. 83 Minzu Road — the family visit,,"No. 83, Minzu Rd, Linkou","The van waits outside, so there's no clock to watch — let the visit run long if it wants to. Take a group photo here; it's the one stop on this trip that belongs entirely to your family.",https://www.google.com/maps/search/?api=1&query=林口區民族路83號
1,Saturday 5 September,11:00,40 min,travel,Van into Taipei,,,The last leg of the morning — hotel next. Don't be surprised if half the van is asleep within ten minutes.,
1,Saturday 5 September,11:40,,rest,Hotel — drop bags,,,Far too early for the rooms to be ready — hand everything to the bell desk and head straight back out. A proper lunch is waiting somewhere in Zhongshan.,
1,Saturday 5 September,12:00,6 hr,sight,Free & easy — Zhongshan shopping,,Zhongshan MRT / Shuangcheng St,"No fixed plan — today the whole rest of the afternoon is wide open. The Zhongshan MRT area and Shuangcheng Street are packed with boutiques, bookshops and cafés, a short walk or one stop away — split up, shop, grab lunch as you go, sneak a nap back at the hotel, or just find somewhere cool to sit. Regroup by 18:15 for the night market.",https://www.google.com/maps/search/?api=1&query=中山站+雙城街
1,Saturday 5 September,18:30,,travel,Taxi to Ningxia Night Market,,,"Three taxis for the twelve of us, four to a car. Ten to fifteen minutes from Zhongzheng.",
1,Saturday 5 September,19:00,1.5 hr,meal,Dinner — Ningxia Night Market,250,"Ningxia Rd, Datong District","One short street, food and nothing but food — no trinket stalls to wade through. It's the kindest night market in Taipei for tired legs, and the best one for old-school Taiwanese cooking.",https://www.google.com/maps/search/?api=1&query=寧夏夜市
1,Saturday 5 September,21:00,,rest,Back to the hotel,,,"An early night tonight. Tomorrow's tea hills are gentle going, but an early start still pays off at the gondola queue.",
2,Sunday 6 September,08:00,1 hr,rest,Slow breakfast at the hotel,,,"A slower start today, on purpose — let everyone's body clock catch up before the day begins.",
2,Sunday 6 September,09:15,45 min,travel,MRT to Taipei Zoo station,50,,Take the Brown Line all the way to the end of the line. The gondola entrance is a well-signposted three-minute walk from Exit 2.,https://www.google.com/maps/search/?api=1&query=捷運動物園站
2,Sunday 6 September,10:00,30 min,travel,Ride the gondola up,300,Taipei Zoo gondola station,"Buy the NT$300 day pass for unlimited rides, so you can hop off at Zhinan Temple for free on the way down. If the kids fancy a glass floor underfoot, add NT$50 for a Crystal Cabin — just note its queue runs separately, and longer.",https://www.google.com/maps/search/?api=1&query=貓空纜車動物園站
2,Sunday 6 September,10:30,2 hr,sight,The Camphor Trail and the tea slopes,,"Camphor Trail, Maokong","A flat, paved loop through working tea terraces, with Taipei 101 rising out of the basin behind you the whole way. Benches and shade line the path, and the Tea Promotion Centre along the route pours free tastings.",https://www.google.com/maps/search/?api=1&query=樟樹步道+貓空
2,Sunday 6 September,12:30,1.5 hr,meal,Lunch — a Maokong tea house,350,Maokong tea houses near the terminal,"Mountain Tea House (4.5) serves proper set meals for six with tea-leaf cooked dishes and a 101 view; Maokong Tea House (4.8) keeps it lighter — tieguanyin ice cream, boba, snacks. Book ahead, since Sunday lunch fills fast.",https://www.google.com/maps/search/?api=1&query=貓空茶館
2,Sunday 6 September,14:00,1 hr,sight,"Sit with a pot of oolong, then drift down",,Maokong tea houses near the terminal,"No one should be rushed out of a Maokong tea house. Linger over the pot, and when you're ready, ride down — hopping off at Zhinan Temple on the way if anyone's curious.",https://www.google.com/maps/search/?api=1&query=貓空茶館
2,Sunday 6 September,15:30,,travel,MRT back to the hotel,50,,,
2,Sunday 6 September,16:00,2 hr,rest,Afternoon off,,,"Non-negotiable in this heat, especially for the grandparents — shower, air-con, and horizontal for a while.",
2,Sunday 6 September,18:30,2 hr,meal,Dinner — Raohe Street Night Market,300,"Raohe St, Songshan — MRT Songshan exit 5","MRT to Songshan station, exit 5, and the market gate is right there. Start with the pepper buns near the temple end — the queue looks daunting but moves in about eight minutes.",https://www.google.com/maps/search/?api=1&query=饒河街觀光夜市
2,Sunday 6 September,20:45,,rest,Back to the hotel,,,Tomorrow the mid-bus at 08:30 for Yilan. A normal bedtime tonight is enough — a towel for wet feet at Qingshui.,
3,Monday 7 September,07:30,50 min,rest,Breakfast at the hotel,,,"A sit-down breakfast — the bus comes to the door. The tunnel is a highway, not a mountain road, but tablets still help anyone who hates enclosed space. A small towel for wet feet at Qingshui; no swimsuit unless someone wants the optional wooden bathhouse.",
3,Monday 7 September,08:30,90 min,travel,"Mid-bus: hotel → Zhuangwei, through the tunnel",,,"Same 中巴 type as Day 1 — a 19–20 seater, waiting all day, not Kamalan coaches plus taxis. Weekday morning through the Xueshan Tunnel is about seventy to ninety minutes to Zhuangwei. Tell the driver 蘭陽動植物王國，壯圍鄉紅葉路62-13號. Arrive at opening: weekdays start at 10:00, not 09:30.",https://www.google.com/maps/search/?api=1&query=蘭陽動植物王國+宜蘭縣壯圍鄉紅葉路62-13號
3,Monday 7 September,10:00,2 hr,sight,"Lanyang Flora & Fauna Kingdom — kangaroos, capybara, teddy sheep",280,"No. 62-13, Hongye Rd, Zhuangwei, Yilan","Walk-up tickets: adult about NT$280, ages 12 and under / 65+ about NT$180, under 90 cm or under two free. Feed is extra. Two hours: 10:00 flying-squirrel slot, goat race at 10:30, teddy-sheep feeding at 11:00, then kangaroos and capybara outdoors. Skip the plant DIY. Phone 0958-507-905.",https://www.google.com/maps/search/?api=1&query=蘭陽動植物王國+宜蘭縣壯圍鄉紅葉路62-13號
3,Monday 7 September,12:00,15 min,travel,Short hop to lunch in Zhuangwei,,,About fifteen minutes southwest to Xinnan Road, on the way toward Yilan City. Seafood instead is Hai Zhi Wei on Zhongyang Road, about ten minutes from the park.,https://www.google.com/maps/search/?api=1&query=大嵌城甕缸雞+壯圍鄉新南路102-6號
3,Monday 7 September,12:15,1 hr 5 min,meal,"Lunch — jar chicken and stir-fries, or seafood",380,"No. 102-6, Xinnan Rd, Zhuangwei, Yilan","Walk in at 大嵌城甕缸雞 — 03-938-7700 — open 11:00–20:00. Order à la carte: two jar-roast chickens (about NT$700 each; phone them at 11:00 from the park so the kiln is ready), clams, greens, tofu, rice. Cash. Ask for the bill around 13:10 so you are on the road by 13:20. Seafood instead: 壯圍海之味, 03-938-8616, No. 288 Sec. 2 Zhongyang, lunch until ~14:00, closed Wednesday.",https://www.google.com/maps/search/?api=1&query=大嵌城甕缸雞+壯圍鄉新南路102-6號
3,Monday 7 September,13:20,50 min,travel,Mid-bus: Zhuangwei → Qingshui Geothermal Park,,,"Forty to fifty minutes west across the Lanyang Plain. Tell the driver 清水地熱公園，三星路八段501巷150號. The last stretch is a narrow valley road — a 中巴 sometimes cannot enter. If it cannot, wait at 長埤湖停車場 and walk or shuttle the last ten minutes. Monday in September is the kinder version of this problem.",https://www.google.com/maps/search/?api=1&query=清水地熱公園+宜蘭縣大同鄉三星路八段501巷150號
3,Monday 7 September,14:10,1 hr 50 min,sight,"Qingshui Geothermal Park — cook in the wells, soak your feet",120,"No. 150, Ln. 501, Sec. 8, Sanxing Rd, Datong, Yilan","Free entry. Buy eggs, corn and a bamboo basket at the visitor centre — spend about NT$60 per basket and the hire is free (NT$200 deposit, returned). Eggs eight to ten minutes, corn about twenty. Put the baskets in a numbered well, then sit in the free foot pools (about 40°C) while they cook. The wells themselves are 95°C — keep the 3-year-old on the path, not at the rim. This is not a swimsuit spa; 清水泉湯屋 is an optional extra if anyone still wants a body soak. Park closes at 17:00. Leave at 16:00 so the tunnel is still civilised.",https://www.google.com/maps/search/?api=1&query=清水地熱公園+宜蘭縣大同鄉三星路八段501巷150號
3,Monday 7 September,16:00,90 min,travel,Mid-bus home through the tunnel,,,"Further inland than the tunnel mouth, so the ride home is about ninety minutes on a Monday. Leave at 16:00, not 16:45. Wet feet and a highway is fine; a 17:00 closing plus the evening clog is not.",
3,Monday 7 September,18:15,,rest,Back to the hotel,,,"Home at a civilised hour, on purpose. Nearest food, lights out by 22:00 — lanterns tomorrow, bus at 10:00.",
4,Tuesday 8 September,08:00,1 hr,meal,"Breakfast — hotel, or Fu Hang Soy Milk",120,"2F, Huashan Market, near Shandao Temple","Fu Hang sits upstairs in the Huashan Market building by Shandao Temple, just minutes from the Airbnb — savoury soy milk, thick shaobing still warm from the griddle, youtiao fried to order. The queue is the stuff of legend: arrive at 08:00 or skip it entirely. The bus isn't until 10:00. Closed Mondays, so today you're in luck.",https://www.google.com/maps/search/?api=1&query=阜杭豆漿
4,Tuesday 8 September,10:00,75 min,travel,Mid-bus: Airbnb → Shifen Waterfall gate,,,"Tell the driver 十分瀑布, the park gate, not the station. Door to door is often 50–65 minutes after the morning rush; we keep seventy-five so a mid-bus on mountain roads still lands you before lunch. The 25-minute walk from the station is the bit you just bought out of the day.",https://www.google.com/maps/search/?api=1&query=十分瀑布
4,Tuesday 8 September,11:15,1 hr,sight,Shifen Waterfall,,"Shifen Waterfall, Pingxi",Dropped at the gate. Entry is free and the viewing decks are level throughout. Carry water — September heat still finds you on a boardwalk.,https://www.google.com/maps/search/?api=1&query=十分瀑布
4,Tuesday 8 September,12:15,10 min,travel,Short hop to Shifen Old Street,,,Five to ten minutes. The driver can wait on the street or at the car park while you eat and linger.,https://www.google.com/maps/search/?api=1&query=十分老街
4,Tuesday 8 September,12:25,1.5 hr,meal,Lunch and the railway street,200,"Shifen Old Street, Pingxi","Liou Gou's deboned chicken wing, stuffed with fried rice and grilled to a crackle, is the dish everyone comes here for. Afterwards, browse the stalls, watch a train rumble straight down the middle of the street, and pick out your lantern colours for later.",https://www.google.com/maps/search/?api=1&query=十分老街
4,Tuesday 8 September,14:00,1.5 hr,rest,"Deliberate slow block — tea, shade, sitting",,,"This gap isn't filler — it's how the lantern still goes up at golden hour on a ten-hour clock. Air-conditioned cafés line the street. The optional hop to Jingtong is off the plan — leaving Jiufen at 18:45 will not wait for a side trip.",
4,Tuesday 8 September,15:30,1.5 hr,sight,Sky lantern release — golden hour,250,Shifen Old Street tracks,"Write your wishes across all four sides with the brush, stand together on the tracks, and let go as one around 16:00–17:00 while the light turns gold. Roughly NT$200 a lantern, shared between two or three — and worth having one grown-up keep a hand on the three-year-old, well clear of the flame, while it lifts. This is the moment the whole trip has been building to.",https://www.google.com/maps/search/?api=1&query=十分老街+天燈
4,Tuesday 8 September,17:00,15 min,sight,Golden Waterfall — two minutes from the road,,,"The stop the train plan dropped. Photograph from the roadside, do not wade. Then on to Jiufen while the light is still going gold.",https://www.google.com/maps/search/?api=1&query=黃金瀑布
4,Tuesday 8 September,17:15,20 min,travel,Mid-bus up to Jiufen,,,Tell the driver 九份老街. About fifteen to twenty minutes. He can wait at the coach park while you climb.,https://www.google.com/maps/search/?api=1&query=九份老街
4,Tuesday 8 September,17:35,1 hr 10 min,sight,Jiufen Old Street at dusk,,"Jiufen Old Street, Ruifang","You arrive just as the red lanterns are being lit. Steep steps everywhere. Settle the grandparents at a view teahouse and let everyone else climb. Be back at the coach park by 18:45 — the bus contract ends at 20:00.",https://www.google.com/maps/search/?api=1&query=九份老街
4,Tuesday 8 September,17:45,1 hr,meal,Tea and dinner — Jiufen teahouse,400,Jiufen Teahouse (九份茶坊),"Jiufen Teahouse (4.8) does interactive brewing while the mountainside drops away to the sea below. Sit down by 17:45 and leave the table by 18:35 so you are on the bus at 18:45.",https://www.google.com/maps/search/?api=1&query=九份茶坊
4,Tuesday 8 September,18:45,75 min,travel,Mid-bus home to the Airbnb,,,"About seventy-five minutes on a weekday evening. Leave Jiufen at 18:45, not later. If the driver says traffic looks heavy, leave at 18:30. The contract ends at 20:00.",
4,Tuesday 8 September,20:00,,rest,Back to the Airbnb,,,"Tired legs, full hearts, and a phone full of photos of a lantern drifting up into the dark. Home before the bus turns into a pumpkin.",
5,Wednesday 9 September,07:00,1 hr,rest,"Breakfast, and pack the day bag",,,"Umbrella, water, and motion sickness tablets — the road up to Fuxing winds through a long series of bends. The bus comes to the hotel at 08:00.",
5,Wednesday 9 September,08:00,90 min,travel,Mid-bus: hotel → Xiao Wulai,,,"Tell the driver 小烏來天空步道，桃園市復興區 — not 乌来 in New Taipei. About ninety minutes, freeway then the mountain road. Tablets before you board.",https://www.google.com/maps/search/?api=1&query=小烏來天空步道
5,Wednesday 9 September,09:30,2 hr,sight,Xiao Wulai Skywalk and waterfall,50,"Xiao Wulai, Fuxing District, Taoyuan",The glass platform cantilevers out over the falls. Anyone uneasy with heights can take the side path and still get the full waterfall view from solid ground. There's a suspension bridge on the far side for the brave. The skywalk normally needs an online slot booked in advance — see the note below.,https://www.google.com/maps/search/?api=1&query=小烏來天空步道
5,Wednesday 9 September,11:30,30 min,travel,Mid-bus down to Daxi Old Street,,,"Same bus, same driver. Ask to be dropped on Heping Old Street, right where lunch is waiting.",https://www.google.com/maps/search/?api=1&query=大溪老街
5,Wednesday 9 September,12:00,1.5 hr,meal,Lunch — Hakka food on Daxi Old Street,300,"Heping Old Street, Daxi","This is Hakka country, and the local restaurants cook accordingly — salty, savoury, a little fatty, and exactly right after a morning outdoors.",https://www.google.com/maps/search/?api=1&query=大溪老街
